WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.55,17.04,5436,78.45,2718,2989,70.87
0.55,17.01,5451,78.45,2725,2998,70.87
0.55,17.01,5454,78.45,2727,2999,70.87
0.55,16.98,5467,78.81,2733,3006,71.09
0.55,16.98,5469,78.81,2734,3007,71.09
0.55,16.95,5471,78.81,2735,3009,71.09
0.55,16.92,5474,78.81,2737,3010,71.09
0.55,16.92,5476,78.81,2738,3011,71.09
0.55,16.92,5478,79.17,2739,3012,71.31
0.55,16.92,5479,79.17,2739,3013,71.31
0.55,16.9,5479,79.17,2739,3013,71.31
0.55,16.9,5480,79.17,2740,3014,71.31
0.55,16.9,5481,79.54,2740,3014,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.17,2741,3015,71.31
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.17,2741,3015,71.31
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.9,5482,79.91,2741,3015,71.76
0.55,16.9,5482,79.91,2741,3015,71.76
0.55,16.9,5482,79.54,2741,3015,71.54
0.55,16.87,5483,79.91,2741,3015,71.76
0.55,16.87,5484,79.91,2742,3016,71.76
0.55,16.87,5485,80.28,2742,3016,71.98
0.55,16.9,5485,80.28,2742,3016,71.98
0.55,16.9,5484,80.28,2742,3016,71.98
0.55,16.87,5484,80.28,2742,3016,71.98
0.55,16.87,5484,80.28,2742,3016,71.98
